 Reflection Date;Reflection;Question 1;Rating 1;Question 2;Rating 2;Question 3;Rating 3;Today Question;Rating_today;Tomorrow Question;Rating_tomorrow ;Attendies 
Jul. 22 2013;Colton was fussy vandag. Weet nie wat dit is nie. Ek hoop vanaand gaan beter. Môre praat ek met die Earthquakes... Sal lekker wees om hulle as Vimbli kliënte te hê. Seisoen kaartjies :-) Simone beplan om môre bietjie joga toe te gaan. Sal goed wees. Dan sal ek waarskynlik moet bottel voed. Oops. Die dok het vandag geseg Colton kis gesond... En het baie persoonlikheid. Bepeinsend en opmerksaam. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;Colton Strydom,Support Vimbli
Jul. 25 2013;I am not getting to everything I need to get to. I really feel stuck in a vicious cycle.  Need to get out. 
Simone misinterpreted the Food Truck interest.  Maybe not. As I was not super excited going, but it was not a food truck thing.  I just don't have bandwidth to do anything but the absolutely necessary. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;1;How do you feel about tomorrow?;3;N/A
Jul. 26 2013;good meeting with Kaiser. family, anpe work with jon and fam;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
Jul. 27 2013;Colton slept well today. I hope the evening will also be good. The Vimbli payment did not work seems like a small bug. Hope the team can fix it quickly on Monday. I will send material to A16Z, mckinsey and gap on Monday. Also I hope to figure out fitbit on Monday. The meeting with kaiser yesterday made me feel good about the feedback. Simone is a superstar taking care of Colton. She is breastfeeding constantly. I would not have been able to do it. I love my wife. For her. For what she is giving to our aon;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;Simone Seeley,Support Vimbli
Jul. 29 2013;Got the Fitbit app away. Getting ready for Quakes. McK tomorrow.  Things are moving.  Hiccup with the payment module ... will sort out tomorrow. Colton being a star.  Still eating like a champ.  His butt is raw though.  We need to take better care of wiping him (and he probably needs to poop a little less ;) )  All good though.  I am excited about the opportunities. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Jul. 31 2013;Long drive down to SJ to meet with the Earthquakes.  Good sessions.  Hope to confirm the work with them on Thursday or Friday.  Lorena's KP offer is a downer.  Simone wrote me the nicest note to start my day.  Colton is getting better, but not eating less or less frequent.  I wish I could help with the feeding.  Simone is doing a great job.  I'll try to create space for her to get out today.  ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;Colton Strydom,Simone Seeley
Aug. 01 2013;Talking to Bob in a bit.  I am excited to talk to him, and at the same time a bit afraid.  He could make a lot of things happen.  It will be interesting to hear his thoughts on my application, but it could also be a reality check.  Either way it will be good.  I hope to get all my feedback to the team before they start.  Doing the development work on my own is getting old ... but we are almost "done"!;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
Aug. 02 2013;Today is going to be a good day.  We are going to talk to or visit the lactation specialist.  If we have to go to formula to supplement we are.  I cannot help Simone if we don't have options to feed Colton.  We also need to resolve the pumping and the lipase taste in the   expressed milk.  Personally I want to go for a run ... and I also want to create a few more opportunities related to my career. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;N/A
Aug. 04 2013;Got the patent done. I don't really care any more... Had a decent walk with Colton. Created some space for Simone. I need to catch up on email, and on me. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Aug. 06 2013;I need to grab this day. Currently I'm approaching it as just another day. It is TODAY! Left Simone and Colton at home to go to a meeting with Simon and Christian. The Clockwork folks. Not sure what is the agenda. After that I need to head home to fix the refrigerator. Hopefully we can Skype with the grandparents today. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Aug. 06 2013;Awesome. Natalie.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;Support Vimbli
Aug. 06 2013;Test;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;Support Vimbli
Aug. 08 2013;Talking to McKinsey later today ... hope it goes well.  I would love a shot at the opportunity.  Larson Comms also in the works.   Colton had a weird night ... not sleeping, and then sleeping without being fed for 3 hours straight after I changed his diaper.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
Aug. 10 2013;Well rested. Ready for the day. Colton slept ok. If a bit grunty. Making pheasant pie for andré today. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;N/A
Aug. 11 2013;Heading to Carin and Eugene today. Colton is doing well. Been  a good couple of days. SD work progressing well. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Aug. 13 2013;In town today.  Got some work done ... but there is always more to do.  Meeting with Valerie in an hour, and then with Ryan.   Then heading back home for time with Simone / Colton.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
Aug. 14 2013;Average day. Figured out the PayPal issue. Helped Prentiss. Spoke with Pete. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
Aug. 16 2013;Need to follow-up ... Andre.  Jerome. I don't know why it is so hard to ask for help to make things happen.  I do believe in what needs to happen, but it is still hard to ask.  Skyped with Strydoms in Robertson.  Colton was good on the call, and then later great in an impromptu photo session.  ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Aug. 18 2013;Good resting Sunday.   Have Machelle and Cassidi visiting. Colton having a blast of a day.  I did nothing work wise.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
Aug. 20 2013;Meeting with Ben Ellis today. Need to decide how I'm going to approach the McK opportunity. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Aug. 20 2013;From phone. Need to remove the ID from the vip group. Currently multiple entries. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;Support Vimbli
Aug. 21 2013;Dropped machelle and cassidi at sfo. Drafted McK Learning memo. Meeting either the military folks today. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
Aug. 22 2013;Sitting with Colton. He is in his swing. Great to have the flexibility to be with him. Today I'm going to follow up with Elizabeth at The Gap, and André at Yahoo!.  Tomorrow I want to submit the learning memo. Meeting with Eugene in the office. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
Aug. 23 2013;First reflection without a group. Colton is playing on the mat. The high performance learning piece is coming together. I'm looking forward to the weekend. Tom and I will discuss various options for Vimbli going forward. ;N/A;N/A;N/A;;N/A;N/A;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Aug. 23 2013;Good meeting with Tom. Need to get the McKinsey note done. Feel good about the weekend ahead. ;N/A;N/A;N/A;;N/A;N/A;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Aug. 24 2013;Heading to dinner with Obrien and Emily. Got the McK memo drafted. ;N/A;N/A;N/A;;N/A;N/A;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Aug. 26 2013;Feeling good about the McK Learning memo. Writing it was good... Helped clarify my thinking. Today I need to catch up with secondary options. And hope to get a run in. ;N/A;N/A;N/A;;N/A;N/A;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Aug. 26 2013;Mid day slump. ;N/A;N/A;N/A;;N/A;N/A;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Aug. 27 2013;Old Navy app progressing well. Colton was awesome today. Tummy time is his new gig. ;N/A;N/A;N/A;;N/A;N/A;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
Aug. 29 2013;Good day ... And only starting. ;How many people have you helped? (including yourself);3;How much are you living in the moment?;3;How many actions have you taken towards your future?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
